Nombre,Fecha,Cliente
EPIC WORLD | INVESTIGACIÓN DE MERCADO,16 de junio de 2026,EPIC WORLD (https://app.notion.com/p/EPIC-WORLD-37d9627eeeff80819c4fdc2517bf37b6?pvs=21)
NUT POINT | INVESTIGACIÓN DE MERCADO,22 de mayo de 2026,
RISPOLI TEENS | INVESTIGACIÓN DE MERCADO,17 de mayo de 2026,RISPOLI TEENS (https://app.notion.com/p/RISPOLI-TEENS-3029627eeeff80fe8bf6c7d3ff151bff?pvs=21)
RISPOLI VIAJES | INVESTIGACIÓN DE MERCADO,11 de mayo de 2026,RISPOLI VIAJES (https://app.notion.com/p/RISPOLI-VIAJES-3179627eeeff80ba8a88f07335737229?pvs=21)
PAULA OIKOS | INVESTIGACIÓN DE MERCADO,8 de mayo de 2026,PAULA OIKOS (https://app.notion.com/p/PAULA-OIKOS-3139627eeeff80b78c04e205c32fb55f?pvs=21)
NOIRPRESS | INVESTIGACIÓN DE MERCADO,16 de abril de 2026,NOIRPRESS (https://app.notion.com/p/NOIRPRESS-2ce9627eeeff8090a5afeae41f149996?pvs=21)
THE ROSS | INVESTIGACIÓN DE MERCADO,31 de marzo de 2026,THE ROSS (https://app.notion.com/p/THE-ROSS-2949627eeeff81a98e21d8627c0c1067?pvs=21)
COMPARA SOFTWARE | INVESTIGACIÓN DE MERCADO,24 de marzo de 2026,COMPARA SOFTWARE (https://app.notion.com/p/COMPARA-SOFTWARE-2ee9627eeeff8054adbbdb46e4455de0?pvs=21)
CALLIOPE | INVESTIGACIÓN DE MERCADO,21 de marzo de 2026,
OBREGÓN INMOBILIARIA | INVESTIGACIÓN DE MERCADO,27 de febrero de 2026,Inmobiliaria Obregón (https://app.notion.com/p/Inmobiliaria-Obreg-n-30c9627eeeff80e0b22cca9b9c6ee3d2?pvs=21)
BLUMA PRODUCCIONES | INVESTIGACIÓN DE MERCADO,30 de enero de 2026,BLUMA PRODUCCIONES (https://app.notion.com/p/BLUMA-PRODUCCIONES-2f79627eeeff80cabbbcdadabe6387b8?pvs=21)
RÁMINI | INVESTIGACIÓN DE MERCADO,28 de enero de 2026,RAMINI (https://app.notion.com/p/RAMINI-2d59627eeeff8069a211e8473727a0ba?pvs=21)